
Host: Tricias-MBP

Timers On : Thu Jun 11 10:22:05 2020
Timers Off: Thu Jun 11 10:39:03 2020

Wall Time:     1017.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: DIIS                            :      0.600u      0.183s      0.413w    553 calls
DIISManager::add_entry              :      0.050u      0.150s      0.092w    533 calls
DIISManager::extrapolate            :      0.033u      0.017s      0.049w    533 calls
bMatrix setup                       :      0.000u      0.000s      0.015w    533 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.016w    533 calls
New vector                          :      0.000u      0.017s      0.012w    533 calls
HF: Form C                          :      0.033u      0.000s      0.031w    553 calls
Grad: V T Perturb                   :      0.317u      0.017s      0.227w      6 calls
Grad: S                             :      0.000u      0.000s      0.001w      6 calls
Grad: JK                            :      0.550u      0.050s      0.358w      6 calls
JKGrad: Amn                         :      0.100u      0.017s      0.057w      6 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      6 calls
JKGrad: AB                          :      0.100u      0.000s      0.065w      6 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      6 calls
JKGrad: ABx                         :      0.083u      0.000s      0.050w      6 calls
JKGrad: Amnx                        :      0.167u      0.000s      0.097w      6 calls
Grad: XC                            :      0.000u      0.000s      0.000w      6 calls
Total PK formation time             :      1.500u      0.000s      0.919w     49 calls
CIWave: CIvect write                :      0.017u      0.033s      0.027w   2246 calls
CIWave: CIvect read                 :      0.033u      0.017s      0.065w  11875 calls
CIWave: s2                          :      0.067u      0.000s      0.031w   3005 calls
CIWave: s3                          :      0.217u      0.017s      0.137w  20598 calls
CIWave: s3_mt                       :      0.000u      0.000s      0.015w   6640 calls
CIWave: s1                          :      0.000u      0.000s      0.005w   2533 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.517u      0.000s      0.312w     45 calls
DFH: initialize()                   :      1.300u      0.050s      0.841w     45 calls
| DFH: AO Construction              :      0.067u      0.000s      0.059w     45 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.009w     45 calls
HF: Form core H                     :      0.033u      0.367s      0.251w     94 calls
HF: Form S/X                        :      0.017u      0.017s      0.014w     94 calls
HF: Guess                           :      3.467u      0.117s      2.163w     94 calls
| SAD Guess                         :      3.200u      0.117s      2.004w     74 calls
HF: Form G                          :      0.417u      0.050s      0.265w    627 calls
| JK: D                             :      0.017u      0.033s      0.004w    627 calls
| JK: USO2AO                        :      0.033u      0.000s      0.024w    627 calls
| JK: JK                            :      0.267u      0.000s      0.196w    627 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.037w    273 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    273 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.019w    273 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.014w    273 calls
| | PK computes JK                  :      0.217u      0.000s      0.156w    354 calls
| JK: AO2USO                        :      0.017u      0.000s      0.018w    627 calls
HF: Form F                          :      0.033u      0.000s      0.021w    627 calls
